Continent,acq_date,Collections,Total,,,,,,,,,,,,,,,,,
AS,1888,122,85488,,,,,,,,,,,,,,,,,
AS,1889,239,85488,,,,,,,,,,,,,,,,,
AS,1890,128,85488,,,,,,,,,,,,,,,,,
AS,1891,284,85488,,,,,,,,,,,,,,,,,
AS,1892,924,85488,,,,,,,,,,,,,,,,,
AS,1893,654,85488,,,,,,,,,,,,,,,,,
AS,1894,1478,85488,,,,,,,,,,,,,,,,,
AS,1895,3254,85488,,,,,,,,,,,,,,,,,
AS,1896,1360,85488,,,,,,,,,,,,,,,,,
AS,1897,1061,85488,,,,,,,,,,,,,,,,,
AS,1898,1949,85488,,,,,,,,,,,,,,,,,
AS,1899,315,85488,,,,,,,,,,,,,,,,,
AS,1900,107,85488,,,,,,,,,,,,,,,,,
AS,1901,317,85488,,,,,,,,,,,,,,,,,
AS,1902,689,85488,,,,,,,,,,,,,,,,,
AS,1903,774,85488,,,,,,,,,,,,,,,,,
AS,1904,163,85488,,,,,,,,,,,,,,,,,
AS,1905,829,85488,,,,,,,,,,,,,,,,,
AS,1906,151,85488,,,,,,,,,,,,,,,,,
AS,1907,139,85488,,,,,,,,,,,,,,,,,
AS,1908,258,85488,,,,,,,,,,,,,,,,,
AS,1909,692,85488,,,,,,,,,,,,,,,,,
AS,1910,690,85488,,,,,,,,,,,,,,,,,
AS,1911,208,85488,,,,,,,,,,,,,,,,,
AS,1912,557,85488,,,,,,,,,,,,,,,,,
AS,1913,574,85488,,,,,,,,,,,,,,,,,
AS,1914,272,85488,,,,,,,,,,,,,,,,,
AS,1915,162,85488,,,,,,,,,,,,,,,,,
AS,1916,34,85488,,,,,,,,,,,,,,,,,
AS,1917,55,85488,,,,,,,,,,,,,,,,,
AS,1918,12,85488,,,,,,,,,,,,,,,,,
AS,1919,323,85488,,,,,,,,,,,,,,,,,
AS,1920,545,85488,,,,,,,,,,,,,,,,,
AS,1921,178,85488,,,,,,,,,,,,,,,,,
AS,1922,358,85488,,,,,,,,,,,,,,,,,
AS,1923,212,85488,,,,,,,,,,,,,,,,,
AS,1924,397,85488,,,,,,,,,,,,,,,,,
AS,1925,296,85488,,,,,,,,,,,,,,,,,
AS,1926,307,85488,,,,,,,,,,,,,,,,,
AS,1927,172,85488,,,,,,,,,,,,,,,,,
AS,1928,1033,85488,,,,,,,,,,,,,,,,,
AS,1929,135,85488,,,,,,,,,,,,,,,,,
AS,1930,256,85488,,,,,,,,,,,,,,,,,
